НАЗВА,КРАЇНА ,Програма,Ступінь ,Ціна,Початок навчання,Стипендії,Тривалість,Форма навчання,Опис прог
Oxford Brookes University,Велика Британія,Computer Science,Магістратура,14850 £/рік,Вересень,обмежена кіл-ть,12 міс,Денна,"Програма магістратури акредитована Британською Комп'ютерним Співтовариством (BCS)

Програма магістратури «MSc in Computer Science» має акредитацію Британської Комп'ютерного Товариства і дає учням всі необхідні навички в сфері інформатики. Студенти вчаться знаходити оптимальні рішення в умовах складних, міждисциплінарних проектів, частка яких в індустрії постійно зростає.

Прикладами таких проектів служать різні веб-технології, що поєднують в собі взаємодію в мережі і інтерфейс «людина-комп'ютер» з високошвидкісними мережами і використанням концепції штучного інтелекту та інтелектуального зв'язкового комп'ютера.

Курс підійде як недавнім випускникам бакалаврату, так і фахівцям-інформатики з досвідом роботи, які хочуть розширити свою спеціалізацію.

переваги програми

В основі програми лежать результати інноваційних наукових досліджень, що проводяться фахівцями вузу.
Навчальний план програми розробляється спільно з практикуючими професіоналам.
Студенти можуть попрактикуватися в застосуванні отриманих навичок, при виборі варіанту програми з додаткової річної практикою.
Доброзичливий міжнародний колектив студентів магістратури.
Універсальні технічні навички, які застосовуються в різних контекстах, таким чином, програма є однаково корисною як для недавніх випускників бакалаврату, так і для досвідчених фахівців."
Oxford Brookes University,Велика Британія,Education - Leadership and Management,Магістратура,£14200,Вересень,?,2-3 роки,Онлайн,"Наш курс MA Education - Leadership and Management призначений для тих, хто працює у навчанні та професійному розвитку. Курс ідеально підходить для:

досвідчені вчителі
викладачі
освітні менеджери
інші фахівці на всіх етапах навчання (початкова, середня, подальша та вища освіта).
Курс буде спиратися на ваш інтелектуальний досвід та досвід. А також надають можливості спілкуватися з іншими. Ви зростете у професійних знаннях та знаннях у галузі освітнього керівництва та управління. І ми підтримаємо вас у вдосконаленні та розвитку вашої професійної організації шляхом:

критичний запит
рефлексія
сприяння творчій та інноваційній практиці."
Oxford Brookes University,Велика Британія,Health Sciences Open Award,Бакалавр,£1750,Вересень чи січень,?,12 - 24 міс,Онлайн,"Якщо ви хочете пройти шлях від диплому про вищу освіту до бакалавра наук, наша відкрита премія наук про здоров’я призначена для вас.

Ви побудуєте спеціальний шлях до відзнаки, який відповідає вашому досвіду та інтересам. Ви дізнаєтесь у співробітників найсучасніших служб охорони здоров'я та соціальної допомоги. Ми пропонуємо вам;

академічного співтовариства світового класу
доступ до безцінних ресурсів, включаючи бібліотеку в нашій будівлі Джона Генрі Брукса.
Ми визнаємо робоче місце форумом для навчання та розвитку. Це означає, що ви можете включати навчання на основі роботи та пов’язувати навчання з професійною практикою.

Ми співпрацюємо з місцевими, національними та міжнародними партнерами, щоб перевести наші провідні світові дослідження в практичну охорону здоров’я та соціальну допомогу.

Наш відкритий шлях нагородження раніше називався Премією студентів з питань охорони здоров’я та соціальної допомоги."
Oxford Brookes University,Велика Британія,International Hospitality Management,Бакалавр,£13360,Вересень,?,4 роки,Денна,"Програма бакалавриата «BSc International Hospitality Management» дає студентам усі необхідні знання та навички для успішної кар'єри у сфері управління міжнародним готельним бізнесом. Успехи випускників принесли вузу міжнародну відомість. Сьогодні колишнє студентство запроваджує готельні підприємства по всьому миру і відіграє важливу роль у розвитку відбитків.

Переваги програми

У рамках програм кураторства «Bacchus» кожен студент випускного вузу отримує викладача з руководячих фахівців. Сьогодні в програмі беруть участь близько 200 представників, які деляться досвідом з подопечними та допомагають їм побудувати успішну кар'єру. Студенти випускного курсу, у свою черговість, виступають у ролі викладачів для молодших школярів.
Ще одним перевагою курсу є завантаження в міжнародному засіданні. Університет пропонує відмінну програму виробничої практики, а також можливість навчання за поштою у вузах-партнерах Австралії, Канади, Данії, Гонконги, Італії, Таїланду та США. Обучаючись також можна прийняти участь у волонтерських програмах у Кеніях та Руминіях.
Університет Оксфорд Брукс регулярно організовує кар'єрні вистави та виступ представників бізнесу. Це дає студентам можливість завести професійні зв'язки та почати успішну кар'єру.
Помімо якість підготовки та обладнання, також включає в себе тренувальний ресторан «Brookes Restaurant», де студенти отримують неоціненний досвід організації заходів та роботи в службі харчування."
Oxford Brookes University,Велика Британія,Architecture,Бакалавр,£12890,Вересень,?,3 роки,Денна,"У програмі «BA (Hons) Architecture» студенти знайомляться з архітектурним дизайном та отримують професійні навички. Курс посвященного вираження ідей та відносин між людьми, будівництвом, повідомленнями та містами. Оксфорд за праву вважається одним із самих живописних городів у світі завдяки великолепній старовинній та сучасній архітектурі. Тому незвично, що Архітектурний факультет вузів є одним із самих творчих та багатогранних в Об'єднаному Королівському.

Випускники програм звільняються від першої частини екзамена за архітектурою при вступі в Королевський інститут британських архітекторів (Королівський інститут британських архітекторів) та Рада зареєстрованих архітекторів (Рада з реєстрації архітекторів)

Переваги програми

Престижний рейтинг «QS Worldwide University Rankings 2016/17» розмістив Факультет Архітектури вузів на 8-му місці в країні
Випускники останніх років працюють у провідних компаніях, серед яких Роджерс Стірк-Харбор, архітектори Grimshaw, Foster and Partners, Make, Kengo Kuma та Raumlabor.
Навчання ведеться в спеціалізованих дизайн-студіях та обладнаних приміщеннях для магістрів-класів.
Програма передбачає тесне співробітництво викладачів та студентів, включаючи заняття в студії дизайну два рази в тиждень.
Усі студенти бакалавриата беруть участь у роботі над реальними проектами реальних клієнтів.
Повідомлення студентів-архітекторів «Oxarch» регулярно організовує виступлення гостевих лекторів, заходів та майстер-класів за дизайном."
Oxford Brookes University,Велика Британія,Anthropology ,Бакалавр,?,Вересень,?,3 роки,Денна,"Ви хочете стати експертом з найбільш актуальних питань, що стоять сьогодні перед людським суспільством? Коли ви обираєте антропологію в Оксфорд Брукс, ви обираєте вивчати все - від еволюційних витоків людської співпраці до політики глобальної нерівності, набуваючи навичок для фантастичної кар’єри.

Вас навчатимуть досвідчені дослідники, які активно працюють у всьому світі. Наша унікальна суміш біологічної та соціальної антропології дає вам багатий, широкий досвід, який є привабливим для роботодавців.

Вам сподобаються захоплюючі екскурсії, від відвідування приматів у заповіднику для приматів Апенгейл, до вивчення сучасних та древніх культур у музеї Річки Пітт. Незалежно від того, чи вивчаєте ви поведінку людини на фестивалях чи вивчаєте, як врятувати приматів від зникнення, ви будете слідувати власним інтересам і набувати навичок, щоб досягти успіху у своєму ступені."
Oxford Brookes University,Велика Британія,Automotive Engineering,Бакалавр,?,Вересень,?,3-5 років,Денна,"На цьому курсі ви вивчите інженерні принципи та аналітичні методи, а також отримаєте практичний досвід у вивченні транспортних засобів та можливість приєднатися до однієї з найкращих студентських гоночних команд Великобританії. Цей курс підготує вас до захоплюючої та складної кар’єри, яка працює в одних з найбільш інноваційних світових компаній з автомобільної техніки."
Oxford Brookes University,Велика Британія,Biological Sciences ,Бакалавр,?,n/a,?,3 роки,Денна,"Наш ступінь біологічних наук надає вам гнучкість для адаптації курсу відповідно до вас. Ви можете вибрати з широкого спектру модулів або вибрати перехід до одного з наших спеціалістів:

Біологічні науки (генетика та геноміка)
Біологічні науки (біологічні науки про людину)
Біологічні науки (зоологія)
Першого року ви вивчатимете різноманітні теми. У 2 і 3 роки ви можете продовжувати широкий підхід або вибрати низку модулів, щоб стати спеціалістом. На останньому курсі ви можете приєднатися до дослідницької групи в рамках дослідницького проекту.

Завдяки великому практичному досвіду ви отримаєте навички, які шукають роботодавці, зокрема:

лабораторні методи
обробка даних
обчислювальної техніки
написання звіту
усні доповіді
колективна робота.
Оксфордський район є важливим центром для галузі біологічних наук. Нас оточують дослідницькі центри світового класу, такі як лікарні Наффілд та Черчілль. Ви можете отримати доступ до найбільшої у Великобританії наукової колекції в Науковій бібліотеці Редкліффа."
Oxford Brookes University,Велика Британія,Business Management ,Бакалавр,?,n/a,?,3 роки,Денна,"У поєднанні з іншою темою, наш ступінь управління бізнесом підготує вас до кар'єри в широкому діапазоні організацій.

Ви можете поєднати управління бізнесом з географією або міжнародними відносинами.

Цей курс розвине ваші практичні навички та знання, щоб ви могли приймати рішення в реальному світі. Після закінчення ви матимете широкі знання з бізнесу та менеджменту, що дозволить вам додати цінності організації з самого початку вашої кар'єри.

Наші викладачі мають значний досвід та галузеві зв'язки. Тож ви можете підсилити своє навчання, проникнувшись сучасним динамічним глобальним діловим середовищем"
Oxford Brookes University,Велика Британія,Computer Science,Бакалавр,?,Вересень,?,3-4 роки,Денна,"Обчислення - це динамічний і швидко рухається предмет, який лежить в основі більшості сфер сучасного життя. Вивчення інформатики відкриває цей світ можливостей. Починаючи з інформаційних систем управління та контролю промислових процесів, закінчуючи Інтернетом та телефонами 4G, ви як інформатик будете брати участь у формуванні навколишнього світу. Комп’ютерні науки пропонуються як на одиничному, так і на комбінованому диплом з відзнакою. Приймаючи це як поєднану відзнаку, ви будете добре підготовлені до широкого кола кар’єр у різних предметах, які ви вивчали."
